uuid	context_size	loss	moniker	nn	oaa	passes	sample_training	f1(training)	f1(testing)	f1(training_oov)	f1(testing_oov)
bfbc8474-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	4	1.0	82.98	83.19	87.22	86.87
bfbc1e94-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	1	1.0	71.33	73.48	77.93	79.54
bfbb5978-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	10	1.0	82.68	83.08	88.23	88.13
bfbb2f0c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	1	0.001	0.92	1.03	19.85	18.58
bfbbf23e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	1	1.0	73.08	74.33	79.6	80.29
bfb95290-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	1	0.001	2.92	2.69	18.14	16.28
bfbea402-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	1	1.0	69.87	71.18	75.98	76.54
bfbb7f2a-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	10	0.01	61.87	64.96	69.59	71.83
bfbb1fa8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	10	0.001	34.1	34.8	48.78	48.51
bfbdee18-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	1	0.001	1.97	1.61	5.41	4.85
bfbc5260-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	4	0.01	45.8	50.23	56.28	59.11
bfbb426c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	4	0.01	58.53	62.53	66.54	69.06
bfbbfd88-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	4	0.10000000000000001	67.87	70.42	75.07	76.58
bfbbb9a4-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	1	0.001	3.48	3.91	14.3	13.26
bfbbc8e0-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	4	0.001	2.1	2.04	19.43	17.29
bfbe7248-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	1	0.01	1.4	0.66	20.16	17.57
bfbbdbc8-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	10	0.01	59.04	62.96	67.17	69.55
bfbb6c6a-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	4	0.001	6.79	7.53	25.24	25.45
bfbd57d2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	4	0.10000000000000001	68.05	71.06	75.03	76.6
bfbbae3c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	10	0.01	61.88	65.56	70.0	72.62
bfbc9dba-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	1	0.10000000000000001	64.38	68.6	72.18	74.98
bfbc4b3a-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	1	1.0	70.36	72.42	77.51	79.13
bfbdc35c-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	1	0.001	4.82	4.7	9.58	8.8
bfbc72cc-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	1	0.10000000000000001	69.25	71.95	75.94	77.26
