uuid	context_size	loss	moniker	nn	oaa	passes	sample_training	f1(training)	f1(testing)	f1(testing_oov)
bfbc37da-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	10	0.10000000000000001	69.75	71.6	78.07
bfbe31ca-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	4	1.0	54.8	51.85	58.32
bfbdeab2-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	10	1.0	85.83	83.41	86.86
bfbe2004-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	1	0.10000000000000001	34.35	33.85	43.41
bfbbf9be-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	4	0.01	51.78	55.7	62.96
bfbb8b00-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	1	0.001	4.07	3.42	14.72
bfbb9a3c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	4	0.001	20.06	18.43	30.8
bfbf1608-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	10	1.0	44.11	41.66	48.57
bfbe5934-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	4	0.10000000000000001	30.06	30.74	39.17
bfbf0f14-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	10	0.01	12.9	12.35	22.95
bfbdb1d2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	4	1.0	50.09	49.23	56.1
bfbdf552-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	1	0.10000000000000001	40.71	42.1	53.12
bfbcf3e6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	1	0.10000000000000001	39.96	40.03	48.57
bfbb8ec0-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	1	0.01	49.75	53.45	61.59
bfbba9c8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	10	0.001	30.86	30.21	39.89
bfb9c07c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	1	0.01	32.57	34.06	46.72
bfbd9ff8-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	1	0.10000000000000001	27.72	28.2	38.71
bfbd69a2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	10	1.0	82.53	82.19	86.25
