uuid	context_size	loss	moniker	nn	oaa	passes	sample_training	f1(training)	f1(testing)
bfbe75ae-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	1	0.10000000000000001	46.21	45.4
bfbb4d8e-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	10	0.001	34.87	35.24
bfbd708c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	1	0.01	0.38	0.28
bfbb278c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	10	0.10000000000000001	73.23	74.95
bfbbccbe-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	4	0.01	48.95	52.64
bfbc8474-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	4	1.0	82.98	83.19
bfbc1e94-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	1	1.0	71.33	73.48
bfbb5978-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	10	1.0	82.68	83.08
bfbb2f0c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	1	0.001	0.92	1.03
bfbbf23e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	1	1.0	73.08	74.33
bfb95290-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	1	0.001	2.92	2.69
bfbea402-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	1	1.0	69.87	71.18
bfbb7f2a-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	10	0.01	61.87	64.96
bfbb1fa8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	10	0.001	34.1	34.8
bfbdee18-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	1	0.001	1.97	1.61
bfbc5260-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	4	0.01	45.8	50.23
bfbb426c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	4	0.01	58.53	62.53
bfbbfd88-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	4	0.10000000000000001	67.87	70.42
bfbbb9a4-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	1	0.001	3.48	3.91
bfbbc8e0-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	4	0.001	2.1	2.04
bfbe7248-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	1	0.01	1.4	0.66
bfbbdbc8-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	10	0.01	59.04	62.96
bfbb6c6a-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	4	0.001	6.79	7.53
bfbd57d2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	4	0.10000000000000001	68.05	71.06
bfbbae3c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	10	0.01	61.88	65.56
bfbc9dba-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	1	0.10000000000000001	64.38	68.6
bfbc4b3a-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	1	1.0	70.36	72.42
bfbdc35c-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	1	0.001	4.82	4.7
bfbc72cc-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	1	0.10000000000000001	69.25	71.95
bfbf00e6-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	4	0.01	7.89	7.79
bfbbeaf0-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	1	0.01	10.61	11.69
bfbdb8f8-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	10	0.01	22.46	22.57
bfbd5b88-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	4	1.0	79.78	80.76
bfbe0a88-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	10	0.001	0.11	0.12
bfbcda50-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	4	1.0	82.27	82.66
bfbd0d5e-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	10	0.01	35.98	35.39
bfbcaf6c-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	4	1.0	81.37	82.29
bfbc3bc2-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	10	1.0	79.89	81.14
bfbcf076-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	1	0.01	17.28	16.92
bfbca134-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	1	1.0	76.42	77.98
bfbf0b54-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	10	0.001	0.47	0.63
bfbb68c8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	1	1.0	74.68	76.07
bfbefd30-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	4	0.001	0.49	0.58
bfbb1300-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	4	0.01	59.74	63.94
bfbd4d6e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	1	1.0	74.06	75.81
bfbd986e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	1	0.001	0.99	0.77
bfbc8bae-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	10	0.01	62.39	65.39
bfbc961c-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	1	0.001	1.71	1.44
bfbdc712-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	1	0.01	1.65	1.03
bfbcfb3e-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	4	0.001	2.46	1.61
bfbbb5d0-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	10	1.0	79.96	80.2
bfbbd7e0-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	10	0.001	12.13	10.53
bfbb9e10-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	4	0.01	57.74	61.65
bfbcbd90-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	10	1.0	84.49	84.4
bfbc04cc-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	10	0.001	14.39	13.69
bfbd0980-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	10	0.001	7.48	7.49
bfbd2d8e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	4	0.10000000000000001	71.51	73.73
bfbe1168-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	10	0.10000000000000001	73.33	74.94
bfbe4408-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	1	0.001	2.25	2.8
bfbd7b36-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	4	0.001	0.73	0.76
bfbe524a-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	4	0.001	4.75	4.35
bfbce590-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	10	0.10000000000000001	76.3	77.82
bfbc4ee6-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	4	0.001	3.01	2.68
bfbcd352-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	4	0.01	56.83	60.56
bfbd314e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	4	1.0	79.79	79.86
bfbb17d8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	4	0.10000000000000001	71.35	73.36
bfbd5f02-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	10	0.001	0.06	0.04
bfbcb69c-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	10	0.01	59.51	63.41
bfbed9a4-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	4	0.10000000000000001	30.12	30.88
bfbd42e2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	1	0.001	2.58	2.41
bfbbc50c-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	1	1.0	73.38	74.93
bfbd661e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	10	0.10000000000000001	73.35	75.08
bfbe2748-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	4	0.001	1.24	0.86
bfbdb542-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	10	0.001	1.25	0.82
bfbe679e-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	10	0.10000000000000001	32.7	32.87
bfbbbd8c-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	1	0.01	4.42	5.4
bfbf0460-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	4	0.10000000000000001	22.87	22.47
bfbdd57c-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	4	0.01	40.07	40.98
bfbb702a-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	4	0.01	58.46	62.4
bfbbe6f4-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	1	0.001	1.01	1.31
bfbc59a4-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	4	1.0	74.23	75.71
bfbcc10a-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	1	0.001	2.58	3.03
bfbe0e02-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	10	0.01	44.98	45.92
bfbecefa-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	1	1.0	38.56	38.75
bfbed26a-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	4	0.001	1.42	1.6
bfbc6480-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	10	0.10000000000000001	68.71	70.75
bfbb834e-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	10	0.10000000000000001	72.39	74.03
bfbb5d2e-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	1	0.001	0.86	1.03
bfbec0ae-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	10	1.0	82.05	80.92
bfbe14d8-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	10	1.0	83.49	82.36
bfbed5e4-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	4	0.01	2.16	1.71
bfbcfed6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	4	0.01	28.16	27.96
bfbe60be-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	10	0.001	5.45	5.61
bfbeeb92-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	10	1.0	61.06	56.61
bfbb55ae-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	10	0.10000000000000001	72.9	74.09
bfbee80e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	10	0.10000000000000001	39.16	38.42
bfbde742-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	10	0.10000000000000001	75.06	75.5
bfbbdf92-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	10	0.10000000000000001	71.15	72.61
bfbc8f32-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	10	0.10000000000000001	76.76	78.0
